issue,index,n_rows,n_cols,page_number,match_score,match_margin,match_source,scan_rel_path
1968_05,2,4,8,61,0.816,0.421,cells,1968/05/IMG_0083_2R.jpg
1968_05,3,2,8,61,1.0,0.444,cells,1968/05/IMG_0083_2R.jpg
1968_05,4,11,3,63,1.0,0.308,cells,1968/05/IMG_0084_2R.jpg
1968_05,5,3,7,64,0.789,0.263,cells,1968/05/IMG_0085_1L.jpg
1968_05,6,26,3,65,0.972,0.417,cells,1968/05/IMG_0085_2R.jpg
1968_05,7,1,5,66,0.9,0.4,cells,1968/05/IMG_0086_1L.jpg
1968_05,8,7,6,71,0.944,0.556,cells,1968/05/IMG_0088_2R.jpg
1968_05,9,5,5,71,0.952,0.286,cells,1968/05/IMG_0088_2R.jpg
1968_05,10,6,9,72,0.81,0.048,cells,1968/05/IMG_0089_1L.jpg
1968_05,11,6,5,72,0.941,0.529,cells,1968/05/IMG_0089_1L.jpg
1968_05,12,5,5,72,0.929,0.714,cells,1968/05/IMG_0089_1L.jpg
1968_05,13,7,10,73,1.0,0.737,cells,1968/05/IMG_0089_2R.jpg
1968_05,14,5,7,74,0.909,0.455,cells,1968/05/IMG_0090_1L.jpg
1968_05,15,7,4,74,1.0,0.864,cells,1968/05/IMG_0090_1L.jpg
1968_05,16,4,8,77,0.87,0.522,cells,1968/05/IMG_0091_2R.jpg
1968_05,17,8,6,93,1.0,0.701,cells,1968/05/IMG_0099_2R.jpg
1968_06,0,4,4,6,1.0,0.847,cells,1968/06/IMG_0105_2R.jpg
1968_06,1,14,4,28,0.927,0.683,cells,1968/06/IMG_0116_2R.jpg
1968_06,2,6,5,29,1.0,0.375,cells,1968/06/IMG_0117_1L.jpg
1968_06,3,5,7,30,1.0,0.643,cells,1968/06/IMG_0117_2R.jpg
1968_06,4,8,3,38,0.894,0.34,cells,1968/06/IMG_0122_2R.jpg
1968_06,5,2,2,39,0.907,0.675,cells,1968/06/IMG_0123_1L.jpg
1968_06,6,5,21,43,0.944,0.667,cells,1968/06/IMG_0124_1_1L.jpg
1968_06,7,7,5,44,0.867,0.6,cells,1968/06/IMG_0124_1_2R.jpg
1968_06,8,13,5,61,0.97,0.712,cells,1968/06/IMG_0133_1L.jpg
1968_06,9,6,7,65,0.978,0.711,cells,1968/06/IMG_0135_1L.jpg
1968_06,10,15,3,67,0.919,0.784,cells,1968/06/IMG_0136_1L.jpg
1968_06,11,2,8,77,0.968,0.661,context,1968/06/IMG_0141_1L.jpg
1968_06,12,3,5,78,1.0,0.733,cells,1968/06/IMG_0141_2R.jpg
1968_06,13,14,6,79,0.964,0.571,context,1968/06/IMG_0142_1L.jpg
1968_06,14,8,5,81,0.909,0.682,cells,1968/06/IMG_0143_1L.jpg
1968_06,15,10,11,81,0.905,0.429,cells,1968/06/IMG_0143_1L.jpg
1968_06,16,9,7,82,0.955,0.501,cells,1968/06/IMG_0143_2R.jpg
1968_06,17,6,8,83,0.924,0.583,cells,1968/06/IMG_0144_1L.jpg
1968_06,18,4,4,83,0.846,0.077,cells,1968/06/IMG_0144_1L.jpg
1968_06,19,5,14,85,0.857,0.524,cells,1968/06/IMG_0145_1L.jpg
1968_07,0,2,5,23,0.769,0.501,cells,1968/07/IMG_0014_2R.jpg
1968_07,1,3,3,48,0.941,0.471,cells,1968/07/IMG_0027_1L.jpg
1968_07,2,11,4,63,1.0,0.903,cells,1968/07/IMG_0034_2R.jpg
1968_07,3,9,8,76,0.667,0.25,cells,1968/07/IMG_0041_1L.jpg
1968_09,0,10,3,80,1.0,0.865,cells,1968/09/IMG_0143_2R.jpg
1968_09,1,6,6,85,1.0,0.751,cells,1968/09/IMG_0146_1L.jpg
1968_10,0,9,9,6,0.882,0.53,cells,1968/10/IMG_0006_2R.jpg
1968_10,1,11,8,9,0.938,0.814,cells,1968/10/IMG_0008_1L.jpg
1968_10,2,4,14,14,0.938,0.188,cells,1968/10/IMG_0010_2R.jpg
1968_10,3,21,6,18,1.0,0.818,cells,1968/10/IMG_0012_2R.jpg
1968_10,4,17,5,62,1.0,0.83,cells,1968/10/IMG_0034_2R.jpg
1968_11,0,5,4,29,1.0,0.751,cells,1968/11/IMG_0068_1L.jpg
1968_12,0,4,12,20,1.0,0.5,cells,1968/12/IMG_0113_2R.jpg
1968_12,1,6,14,20,0.733,0.133,cells,1968/12/IMG_0113_2R.jpg
1968_12,2,3,4,36,0.962,0.847,cells,1968/12/IMG_0121_2R.jpg
1968_12,3,7,5,75,0.921,0.474,cells,1968/12/IMG_0141_1L.jpg
1968_12,4,4,6,76,0.886,0.429,cells,1968/12/IMG_0141_2R.jpg
1968_12,5,35,2,92,1.0,0.572,context,1968/12/IMG_0149_2R.jpg
1968_12,6,4,2,93,0.978,0.79,cells,1968/12/IMG_0150_1L.jpg
1968_12,7,64,2,94,1.0,0.792,cells,1968/12/IMG_0150_2R.jpg
1969_01,0,13,12,15,1.0,0.781,cells,1969/01/IMG_0011_1L.jpg
1969_01,1,5,13,16,1.0,0.746,cells,1969/01/IMG_0011_2R.jpg
1969_01,2,3,13,17,1.0,0.062,context,1969/01/IMG_0012_1L.jpg
1969_01,3,2,9,22,0.909,0.364,cells,1969/01/IMG_0014_2R.jpg
1969_01,4,19,3,23,1.0,0.763,cells,1969/01/IMG_0015_1L.jpg
1969_01,5,6,8,31,0.914,0.743,cells,1969/01/IMG_0019_1L.jpg
1969_01,6,3,5,31,0.949,0.603,context,1969/01/IMG_0019_1L.jpg
1969_01,7,12,6,41,0.978,0.848,cells,1969/01/IMG_0024_1L.jpg
1969_01,8,3,3,44,1.0,0.762,cells,1969/01/IMG_0025_2R.jpg
1969_01,9,6,8,44,0.929,0.69,cells,1969/01/IMG_0025_2R.jpg
1969_01,10,5,7,45,0.968,0.484,cells,1969/01/IMG_0026_1L.jpg
1969_01,11,3,3,46,0.978,0.4,cells,1969/01/IMG_0026_2R.jpg
1969_01,12,2,2,77,0.955,0.774,cells,1969/01/IMG_0042_1L.jpg
1969_01,13,1,2,78,0.889,0.711,context,1969/01/IMG_0042_2R.jpg
1969_01,14,15,10,82,0.964,0.625,cells,1969/01/IMG_0044_2R.jpg
